应用代码,应用名称,应用类型,公司名称,app大小,版本号,更新时间,评分,下载人数,应用介绍,图标,下载地址,爬取时间
C100725901,早晚读书,新闻阅读,天津万卷书网络科技有限公司,16.56MB,1.2.0.1,2019-08-05,score_10,<10000次,跟对的人，读对的书，做对的事。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/df3f90a039664316a4afb512a0eb331c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/df/df3f90a039664316a4afb512a0eb331c/com.wjs.read.1908022135.apk?sign=portal@portal1565010481138&source=portalsite&maple=0,2019-08-05
C100004639,圆球天下,新闻阅读,河北重达科技有限公司,43.02MB,1.6.3,2019-08-05,score_7,70万次,圆球天下,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/f42afeadfb954d5bbe7bce79397a2fe8.png,http://appdlc.hicloud.com/dl/appdl/application/apk/f4/f42afeadfb954d5bbe7bce79397a2fe8/com.zdkj.yuanqiutianxia.1908050931.apk?sign=portal@portal1565010481672&source=portalsite&maple=0,2019-08-05
C10911748,快点,新闻阅读,北京天桐互动科技有限公司,19.80MB,2.33.00,2019-08-05,score_7,2429万次,快点-国内超火爆、年轻人都在玩的对话小说app,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/b5acd44f70264ea6b7c9f50c8cb639a2.png,http://appdlc.hicloud.com/dl/appdl/application/apk/b5/b5acd44f70264ea6b7c9f50c8cb639a2/com.skyplatanus.crucio.1908051541.apk?sign=portal@portal1565010482230&source=portalsite&maple=0,2019-08-05
C100968229,领读免费小说,新闻阅读,杭州聚力阅盟科技有限公司,12.74MB,1.00,2019-08-05,score_0,<10000次,你是阅读达人就来领读当圈主！3大福利重邀资深书友和作者成为小说界红人！！！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/a2764e33f4aa4140a5e1db09e4d99ab6.png,http://appdlc.hicloud.com/dl/appdl/application/apk/a2/a2764e33f4aa4140a5e1db09e4d99ab6/com.lingduxs.reader.1907311818.apk?sign=portal@portal1565010483537&source=portalsite&maple=0,2019-08-05
C57236,今日头条,新闻阅读,北京字节跳动科技有限公司,24.24MB,7.3.6,2019-08-05,score_10,36亿次,今日头条，懂你的信息平台,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/71f267c974f64196bb43055be6fdd78b.png,http://appdlc.hicloud.com/dl/appdl/application/apk/71/71f267c974f64196bb43055be6fdd78b/com.ss.android.article.news.1908051419.apk?sign=portal@portal1565010484104&source=portalsite&maple=0,2019-08-05
C9147,网易新闻,新闻阅读,网易传媒科技（北京）有限公司,18.95MB,58.1,2019-08-05,score_5,9亿次,网易新闻，各有态度。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/37f5acb90cec4c628c87a95c631b799d.png,http://appdlc.hicloud.com/dl/appdl/application/apk/37/37f5acb90cec4c628c87a95c631b799d/com.netease.newsreader.activity.1908051456.apk?sign=portal@portal1565010486090&source=portalsite&maple=0,2019-08-05
C100626945,菠友,新闻阅读,南京拳头网络科技有限公司,14.74MB,1.3.1,2019-08-05,score_10,11万次,菠友APP是一款电竞智能投顾分析软件，通过大数据及AI算法，展现现全球数千支电竞战队在赛场表现及投资收益情况，为电竞玩家提供精准的方案建议及策略，显著提升方案命中率。还提供全球每月千场电竞比赛赛程及赛果数据，是电竞比赛观赛娱乐的必备工具。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/b550b5cfd24e45ed9a9a62eb56d2911b.png,http://appdlc.hicloud.com/dl/appdl/application/apk/b5/b550b5cfd24e45ed9a9a62eb56d2911b/com.xxadc.mobile.betfriend.1908050957.apk?sign=portal@portal1565010486803&source=portalsite&maple=0,2019-08-05
C100146255,淘最热点,新闻阅读,上海麦晗科技有限公司,14.24MB,2.3.5,2019-08-05,score_9,2202万次,淘最热点是一款新鲜有热度的生活资讯阅读应用，分析生活中的热点讯息，集合分享了海量的优质内容，让您随时随地感受热点的热度。淘最热点也根据对行业阅读数据的分析，以及您个人的阅读喜好，定制专属资讯，只推荐您感兴趣的内容。此外在阅读资讯的同时，还有丰富的福利活动伴您度过轻松时光。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/7110f187dd0746269d78ad3149f17fba.png,http://appdlc.hicloud.com/dl/appdl/application/apk/71/7110f187dd0746269d78ad3149f17fba/com.maihan.tredian.1908051422.apk?sign=portal@portal1565010487361&source=portalsite&maple=0,2019-08-05
C100669703,全民追书,新闻阅读,滁州联科信息科技有限公司,23.08MB,1.4.0,2019-08-05,score_9,2万次,全民追书，致力打造免费精品小说书城，为用户优选好书。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/9bf886fafef1489883e15dd6784e6b83.png,http://appdlc.hicloud.com/dl/appdl/application/apk/9b/9bf886fafef1489883e15dd6784e6b83/com.reader.qmzs.free.1908051424.apk?sign=portal@portal1565010487948&source=portalsite&maple=0,2019-08-05
C100666495,烟台时刻,新闻阅读,烟台广播电视台,27.42MB,1.1.11,2019-08-05,score_7,10万次,“烟台时刻”客户端是集新闻资讯、党务政务、民生服务、身边互动等功能为一体的新闻客户端，为烟台人提供更新更快的移动新闻阅读体验和功能服务。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/bb4e40312b884f5da1687a8b737ffc64.png,http://appdlc.hicloud.com/dl/appdl/application/apk/bb/bb4e40312b884f5da1687a8b737ffc64/com.jiaodong.ytnews.1908051045.apk?sign=portal@portal1565010488499&source=portalsite&maple=0,2019-08-05
C100502817,有趣免费小说书城,新闻阅读,凉山垚遁文化科技有限责任公司,9.96MB,1.1.9,2019-08-05,score_9,14万次,有趣免费小说书城带你免费读书带你嗨！本软件小说资源丰富，囊括言情、穿越、青春校园、霸道总裁、宫斗、玄幻、修真、网游、科幻、异能、历史等各类题材。总有一本书一段故事让你感动。此外，本软件还是一款功能强大阅读器，简洁的界面下支持字体切换、夜间模式、图书收藏、缓存、书签收藏、自动记忆阅读位置，支持TXT、html等，是你看小说的不二之选！看免费小说就上有趣免费小说书城。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/b8d016a8a0574f419780b37cea4a75b7.png,http://appdlc.hicloud.com/dl/appdl/application/apk/b8/b8d016a8a0574f419780b37cea4a75b7/com.fq.fqnovel.1908041258.apk?sign=portal@portal1565010489050&source=portalsite&maple=0,2019-08-05
C100256939,城客,新闻阅读,中城科技（深圳）有限公司,33.05MB,3.1.3,2019-08-05,score_9,<10000次,《城客》是线上阅读（视频、音频、文字）类APP，立足“城市”领域，汲取专家科普的知识性、以及轻娱乐的活泼吸睛特点，是目前国内唯一一款以打破“有专业价值的象牙塔内学术研究”与“大众喜闻乐见的娱乐文化”之间界限为目标的系列深度趣味短视频“阅读”项目。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/0a37a61718ee41daab9484e7ec415959.png,http://appdlc.hicloud.com/dl/appdl/application/apk/0a/0a37a61718ee41daab9484e7ec415959/com.pluscity.1908051151.apk?sign=portal@portal1565010489825&source=portalsite&maple=0,2019-08-05
C10648179,泉州通,新闻阅读,泉州市互联网新闻中心,37.86MB,2.3.1,2019-08-05,score_6,7万次,主流新媒体，移动新门户。泉州通客户端是泉州晚报社全力打造的泉州本地一个深具互联网气质的生态社区：权威资讯首发高地，掌上政务大厅官方入口，民生服务互动平台，闽南乡情移动家园；基于LBS定位传播本地资讯；关注民情，传递民声；同城交谊，分享生活。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/6a3d0c1ba8e447098b2a6adda579f055.png,http://appdlc.hicloud.com/dl/appdl/application/apk/6a/6a3d0c1ba8e447098b2a6adda579f055/com.temobi.quanzhoutong.1907300050.apk?sign=portal@portal1565010491544&source=portalsite&maple=0,2019-08-05
C100479263,免费漫画大全,新闻阅读,柳州市云漫星空信息技术有限公司,12.17MB,1.4.0,2019-08-05,score_4,380万次,免费漫画大全提供超过十万本本优质漫画，你想看的我们都有！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/c52a46bc33b543158d476428df6aba0f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/c5/c52a46bc33b543158d476428df6aba0f/com.mfmhdq.comic.1908021756.apk?sign=portal@portal1565010492124&source=portalsite&maple=0,2019-08-05
C100891977,币云,新闻阅读,大连浦敖电子科技有限公司,12.75MB,1.1.0,2019-08-05,score_0,<10000次,币云是一款是即时行情软件，您可以使用聚币行情app自主选择比特币，以太坊，莱特币，EOS等各个币种实时行情，是目前国内领先的资讯软件app，币云致力于为用户和行业提供专业，靠谱，即时的行情资讯推送，以严谨，透明的行情分析，让您更了解币圈动态,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/e1bce136ca734a60b558c641e0477eee.png,http://appdlc.hicloud.com/dl/appdl/application/apk/e1/e1bce136ca734a60b558c641e0477eee/com.cloudscoin.yun.1907311445.apk?sign=portal@portal1565010492776&source=portalsite&maple=0,2019-08-05
C10599151,奇热小说,新闻阅读,长沙奇热信息科技有限公司,11.41MB,3.2.9,2019-08-05,score_10,1764万次,免费看小说，聚合海量热门小说资源，为你找到玄幻、悬疑、穿越、言情、修真、异能小说等优质小说资源！一个很实在的小说阅读器，追书更新快！不吹牛皮，只疯狂更新！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/b4e2677b82154d30b8e169c0d3f82834.png,http://appdlc.hicloud.com/dl/appdl/application/apk/b4/b4e2677b82154d30b8e169c0d3f82834/com.qixiao.qrxs.1908051200.apk?sign=portal@portal1565010493824&source=portalsite&maple=0,2019-08-05
C100953027,币圈糖果盒子,新闻阅读,阜新随遇网络科技有限公司,13.30MB,1.2.1-release,2019-08-05,score_0,<10000次,简介：币圈糖果盒子汇集着火币、币安、okex、bitmex、bitfnex等全球各大交易所信息，覆盖全球币种；实时了解比特币（BTC）、以太坊（ETH）、瑞波币（XRP）、OK币、火币（HT）、莱特币（LTC）等主流热门币种交易信息，行情源稳定可靠，币圈动态一目了然，是了解数字货币和区块链的不错的选择。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/df19a6e8f26f4eb38f198b41fca6e759.png,http://appdlc.hicloud.com/dl/appdl/application/apk/df/df19a6e8f26f4eb38f198b41fca6e759/com.sweetbBbox.andriod.1907311003.apk?sign=portal@portal1565010494405&source=portalsite&maple=0,2019-08-05
C100396523,有影,新闻阅读,深圳市有影传媒有限公司,19.86MB,1.9.1,2019-08-05,score_4,3万次,图解创始团队全新出品！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/e273d7047ddf4e7cabc821a6b838b445.png,http://appdlc.hicloud.com/dl/appdl/application/apk/e2/e273d7047ddf4e7cabc821a6b838b445/com.yymedias.1908021524.apk?sign=portal@portal1565010496167&source=portalsite&maple=0,2019-08-05
C100102255,天眼新闻,新闻阅读,贵州日报社,32.34MB,5.1.1,2019-08-05,score_7,34万次,天眼新闻是今贵州新闻客户端与当代贵州新闻客户端整合改版升级、由贵州日报当代融媒体集团倾力打造的现象级主流新闻客户端。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/7c2da418ebec403f9e91b1da4ce7ad4a.png,http://appdlc.hicloud.com/dl/appdl/application/apk/7c/7c2da418ebec403f9e91b1da4ce7ad4a/hg.zp.ui.1908051030.apk?sign=portal@portal1565010496838&source=portalsite&maple=0,2019-08-05
C100310987,有看头新闻资讯,新闻阅读,北京四海创为科技有限公司,18.21MB,3.6.5,2019-08-05,score_8,153万次,有看头APP，做你更关注的今日头条，更为你提供今日头条新闻、热点新闻、新闻资讯和好看有趣头条视频内容，边看有趣的新闻边赚钱。可以阅读头条新闻、看娱乐资讯、有趣头条的新闻软件！看头条新闻、好看视频赚金币红包，邀请好友做任务超多福利送不停！一款全新新闻头条资讯阅读APP，即刻了解新闻动态，了解今日头条娱乐新闻、今日热点新闻资讯，与各大新媒体合作，聚合海量娱乐头条、社会头条、有趣头条等多种文章类型，了解今日新闻热点，关注时下有趣的头条新闻，不用每日苦苦等待等待腾讯、网易新闻、东方头条、新浪头条的更新，有看头头条阅读就够了。在这里可以根据个人阅读喜好，更加准确的定制属于你的专属头条新闻。还有更多资讯和视频内容，满足用户的新闻资讯阅读需求。还可发表上您对生活，对事物的见解，发表对每日头条新闻的评论，一条新闻，多种见解，邀请好友送您“阅读红包，给你的专属头条新闻回复，获得属于您的今日头条新闻推送。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/3b3e62444918419eb2765e2d2b4bb98b.png,http://appdlc.hicloud.com/dl/appdl/application/apk/3b/3b3e62444918419eb2765e2d2b4bb98b/com.kuaima.kuailai.1908051059.apk?sign=portal@portal1565010498152&source=portalsite&maple=0,2019-08-05
C100610775,玉米相册,新闻阅读,深圳市冷镜网络科技有限公司,4.81MB,2.1.0,2019-08-05,score_10,<10000次,玉米有声阅读，让美文听得见！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/8515e51d12884a90b8f15c337f78762c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/85/8515e51d12884a90b8f15c337f78762c/com.bwlapp.readmi.1908010853.apk?sign=portal@portal1565010499063&source=portalsite&maple=0,2019-08-05
C100455615,三言,新闻阅读,北京通证互联科技有限公司,23.11MB,3.2.3,2019-08-05,score_5,5万次,三言app，趣味搞笑轻松阅读，休闲时间就要玩三言！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/891af35ca76c42c6bb34afcbb6375bd2.png,http://appdlc.hicloud.com/dl/appdl/application/apk/89/891af35ca76c42c6bb34afcbb6375bd2/com.sylife.1908022137.apk?sign=portal@portal1565010499728&source=portalsite&maple=0,2019-08-05
C10617828,第一读者,新闻阅读,四川读者报社有限公司,3.85MB,2.0.6,2019-08-05,score_8,<10000次,让阅读成为一种享受！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/ca8bba6be36944bca2cc39932ca79661.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ca/ca8bba6be36944bca2cc39932ca79661/com.duzhebao.newfirstreader.1907300005.apk?sign=portal@portal1565010500314&source=portalsite&maple=0,2019-08-05
C100483523,1号群,社交通讯,杭州计然豆豆科技有限公司,29.26MB,1.2.1,2019-08-05,score_0,<10000次,1号群，旨在面向兴趣社群和行业社群，打造高效便捷的信息互动工具。App内置了便于实时通讯的IM聊天工具，设计了层次感分明的聊天室管理工具，便于信息沉淀和公告的动态信息流，还有简便的文章发布入口，让你与你社群成员实现实时、高效、全面的社群内外沟通。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/8061031586c84f3b968a0f07aadefa8b.png,http://appdlc.hicloud.com/dl/appdl/application/apk/80/8061031586c84f3b968a0f07aadefa8b/com.yh.jiran.1908042115.apk?sign=portal@portal1565010601411&source=portalsite&maple=0,2019-08-05
C100893515,东莞头条,社交通讯,东莞城铭网络科技有限公司,21.93MB,1.0.0,2019-08-05,score_0,<10000次,东莞头条——资讯改变未来。这是一款让东莞市民了解本地资讯、生活服务、交友聊天、线上购物的入口，打造东莞本地线上的生活服务平台。同时本地圈和狠优惠也为本地商家提供了一个线上发布优惠服务的入口，让东莞市民有更多不一样的选择,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/e1185bea504a495eb7e279bd6d746d8a.png,http://appdlc.hicloud.com/dl/appdl/application/apk/e1/e1185bea504a495eb7e279bd6d746d8a/net.yeezhi.toutiao.dongguan.1908011443.apk?sign=portal@portal1565010602041&source=portalsite&maple=0,2019-08-05
C10665588,班外,社交通讯,哈尔滨同趣网络科技有限公司,25.11MB,4.7.2,2019-08-05,score_8,6万次,大学生的线上聚集地,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/1acf07084c81403da0db4af07078840f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/1a/1acf07084c81403da0db4af07078840f/com.tongqu.myapplication.1908021054.apk?sign=portal@portal1565010602606&source=portalsite&maple=0,2019-08-05
C100114005,微我,社交通讯,环球壹学（北京）教育科技有限公司,39.59MB,1.6.3,2019-08-05,score_0,<10000次,新世界，新遇见。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/ebb88978d10a48e49c49767a7f063096.png,http://appdlc.hicloud.com/dl/appdl/application/apk/eb/ebb88978d10a48e49c49767a7f063096/com.iinnet.apicloud.1908022027.apk?sign=portal@portal1565010603249&source=portalsite&maple=0,2019-08-05
C100406813,多闪,社交通讯,北京拍拍看看科技有限公司,62.41MB,1.6.4,2019-08-05,score_6,5425万次,日常嗨，随手拍；多闪,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/e862e1623c4d4e43b99a3b7f03c29ed6.png,http://appdlc.hicloud.com/dl/appdl/application/apk/e8/e862e1623c4d4e43b99a3b7f03c29ed6/my.maya.android.1908051716.apk?sign=portal@portal1565010603856&source=portalsite&maple=0,2019-08-05
C100388507,表情助手,社交通讯,成都贝利科技有限公司,10.11MB,2.1.0,2019-08-05,score_8,<10000次,表情助手是一款通过,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/cedef3a66c654486a8f31a378b3c5a8c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ce/cedef3a66c654486a8f31a378b3c5a8c/com.belly.stickersort.1908051253.apk?sign=portal@portal1565010604503&source=portalsite&maple=0,2019-08-05
C100569705,奇聊,社交通讯,广州彬腾科技有限公司,44.97MB,1.5.6,2019-08-05,score_0,<10000次,真人在线视频聊天交友APP,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/b4bda385ff1d413285f2c6cced98f4ff.png,http://appdlc.hicloud.com/dl/appdl/application/apk/b4/b4bda385ff1d413285f2c6cced98f4ff/com.rare.chat.1908050954.apk?sign=portal@portal1565010606231&source=portalsite&maple=0,2019-08-05
C10833322,宣城论坛,社交通讯,宣城市明月网络科技有限责任公司,52.13MB,4.6.7,2019-08-05,score_6,1万次,“敬亭宛溪随明月，千年万里共宣城”,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/ec306da3342245e5816acc7692cdb14b.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ec/ec306da3342245e5816acc7692cdb14b/net.duohuo.magapp.xuanchengluntan.1907301040.apk?sign=portal@portal1565010606872&source=portalsite&maple=0,2019-08-05
C100406573,优优良缘百合相亲,社交通讯,杭州五次颜网络科技有限公司,31.02MB,2.0.9,2019-08-05,score_7,4万次,优优良缘实名认证婚恋平台,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/3512fbed7e2f4f56b006d981591019ef.png,http://appdlc.hicloud.com/dl/appdl/application/apk/35/3512fbed7e2f4f56b006d981591019ef/com.parorisim.youyouliangyuan.huawei.1908042012.apk?sign=portal@portal1565010607359&source=portalsite&maple=0,2019-08-05
C100451025,清水河畔,社交通讯,陈晓枋,361.22KB,1.4.11,2019-08-05,score_8,2万次,电子科技大学学生论坛，用于电子科技大学内部学生交流，失物招领，学习经验分享等,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/3946df2eb0594fdd994628c3bed5eefb.png,http://appdlc.hicloud.com/dl/appdl/application/apk/39/3946df2eb0594fdd994628c3bed5eefb/org.starstudio.qapp.bbs.1908051145.rpk?sign=portal@portal1565010607970&source=portalsite&maple=0,2019-08-05
C100218293,英客,社交通讯,英客信息科技（北京）有限公司,26.48MB,0.8.0,2019-08-05,score_10,38万次,英客俱乐部联盟-Hero,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/3ce19246f1b046e98dde081cd1525930.png,http://appdlc.hicloud.com/dl/appdl/application/apk/3c/3ce19246f1b046e98dde081cd1525930/com.example.herocoming.1908051431.apk?sign=portal@portal1565010608566&source=portalsite&maple=0,2019-08-05
C100516835,乐小转,社交通讯,北京鸿坤泽厚信息技术有限公司,63.55MB,3.1.9,2019-08-05,score_10,<10000次,乐小转app，是集合短视频娱乐、资讯、社交、电商购物为一体的大型综合传媒app。app主要包括“乐看”、“乐购”、“乐友”三大模块，并拥有自主的积分体系。乐小转的每个用户，一边看视频，一边聊天，一边获得积分奖励。在这里，我们弘扬传统文化，倡导广告回归文化，宣传城市特色，倡导商家绿乐小转，是一个开启“互联网+文化”的全新潮流，并聚合短视频、电商、社交为一体的新型传媒APP。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/a1ca04e1aa7e46d998aa9b0530675b88.png,http://appdlc.hicloud.com/dl/appdl/application/apk/a1/a1ca04e1aa7e46d998aa9b0530675b88/com.hongkzh.www.1908050933.apk?sign=portal@portal1565010609911&source=portalsite&maple=0,2019-08-05
C100343823,Friendium,社交通讯,深圳悦智网络科技有限公司,31.08MB,1.3.6.8,2019-08-05,score_10,<10000次,【私密聊天】支持黑科技的私密聊天模式，让指纹识别保护你的聊天，来开启你和TA的专属私密聊天吧！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/dd3d6f234d984ae8bb379b033e98bffd.png,http://appdlc.hicloud.com/dl/appdl/application/apk/dd/dd3d6f234d984ae8bb379b033e98bffd/com.yeejay.im.1908022055.apk?sign=portal@portal1565010610589&source=portalsite&maple=0,2019-08-05
C100412633,云享社区,社交通讯,凌海市云享网络科技有限公司,26.40MB,1.0.27,2019-08-05,score_6,<10000次,云享社区,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/c42d5ea1675f4668b8e9cbf4264ac508.png,http://appdlc.hicloud.com/dl/appdl/application/apk/c4/c42d5ea1675f4668b8e9cbf4264ac508/com.yunxiangsq.1908051323.apk?sign=portal@portal1565010611156&source=portalsite&maple=0,2019-08-05
C100074715,秀蛋,社交通讯,深圳秀蛋科技有限公司,151.58MB,2.5.1,2019-08-05,score_8,323万次,秀蛋,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/d63e9de54e0e4624815fa4f7ff216888.png,http://appdlc.hicloud.com/dl/appdl/application/apk/d6/d63e9de54e0e4624815fa4f7ff216888/com.xiudan.net.1908032348.apk?sign=portal@portal1565010612351&source=portalsite&maple=0,2019-08-05
C100426807,小马微聊,社交通讯,广州乐游互联网科技有限公司,34.67MB,1.8.2,2019-08-05,score_10,<10000次,小马微聊是一款全方位的移动通讯应用，帮助你轻松连接全球好友。小马微聊可以（通过SMS/MMS网络）发送短信、语音信息、分享自己的生活，让你享受丰富多彩的移动生活方式。小马微聊支持多媒体消息，让聊天不仅存在于文本之间的交流。通过匹配通讯录，邀请更多联系人参与到小马微聊中，同时也可以认识新朋友。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/c3840bc923c24becbb331fb83c958d2f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/c3/c3840bc923c24becbb331fb83c958d2f/com.hlwy.machat.1908051017.apk?sign=portal@portal1565010613524&source=portalsite&maple=0,2019-08-05
C100864245,安装工平台,社交通讯,深圳市联星建筑智能化工程有限公司,18.85MB,1.0.41,2019-08-05,score_10,<10000次,安装工平台是产业互联网线上线下大众创业，万众创新的双创服务模式，平台服务内容有接单、派活，各行业类社群自建设，个人/企业入驻，信息发布需求+帖子点赞与打赏功能等服务，工程项目施工与合作联盟，全国工程服务商平台。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/052fdd06de5a475aa8d9c0b59430e664.png,http://appdlc.hicloud.com/dl/appdl/application/apk/05/052fdd06de5a475aa8d9c0b59430e664/com.r422734124.vgr.1908021137.apk?sign=portal@portal1565010614149&source=portalsite&maple=0,2019-08-05
C100216763,道听途说,社交通讯,宁海县星岚计算机软件设计工作室,17.15MB,1.2.20,2019-08-05,score_0,<10000次,道听途说，属于你的街头巷尾,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/2d543491eea2489d891506e4d0de57b5.png,http://appdlc.hicloud.com/dl/appdl/application/apk/2d/2d543491eea2489d891506e4d0de57b5/com.tushuo.hgy.1908032025.apk?sign=portal@portal1565010614752&source=portalsite&maple=0,2019-08-05
C100279651,碰星,社交通讯,北京彦成文化有限公司,18.71MB,3.1.0,2019-08-05,score_10,1万次,碰星，为粉丝用户提供浏览、参与、互动等追星服务，粉丝通过碰星Ap,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/c25ac64555ff4add903925fd53e5cc10.png,http://appdlc.hicloud.com/dl/appdl/application/apk/c2/c25ac64555ff4add903925fd53e5cc10/com.yancheng.pengxing.1908051038.apk?sign=portal@portal1565010615406&source=portalsite&maple=0,2019-08-05
C100859561,趣鸭,社交通讯,北京心灵力量科技有限公司,11.83MB,1.2.1,2019-08-05,score_10,<10000次,【AI自动测评】,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/2fb975b4a7d74fb8b1ceaee808dafa06.png,http://appdlc.hicloud.com/dl/appdl/application/apk/2f/2fb975b4a7d74fb8b1ceaee808dafa06/com.quyaxinli.quyaapp.1908051417.apk?sign=portal@portal1565010616497&source=portalsite&maple=0,2019-08-05
C100808589,喵啵,社交通讯,深圳星洞科技有限公司,37.80MB,1.4.1,2019-08-05,score_0,<10000次,喵啵-用声音贴近你的心,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/a0f2324c4cc340da9be536861bc97fff.png,http://appdlc.hicloud.com/dl/appdl/application/apk/a0/a0f2324c4cc340da9be536861bc97fff/com.miaobo.mobile.1908032217.apk?sign=portal@portal1565010617733&source=portalsite&maple=0,2019-08-05
C100916699,泡泡鱼社交,社交通讯,北京大鱼乐玩网络科技有限公司,19.39MB,1.0.6,2019-08-05,score_0,<10000次,【应用介绍】,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/dc91e809d8874a7d884d2012f7cc0288.png,http://appdlc.hicloud.com/dl/appdl/application/apk/dc/dc91e809d8874a7d884d2012f7cc0288/com.dayu.ppy.1907311006.apk?sign=portal@portal1565010618258&source=portalsite&maple=0,2019-08-05
C100032111,良缘相亲珍爱有缘,社交通讯,杭州承影网络科技有限公司,21.97MB,3.0.14,2019-08-05,score_5,28万次,每个人都在寻觅爱情佳缘，都渴望被珍爱，都渴望找到有缘人。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/86a62029acce4122b7ffc06bdbd80f2f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/86/86a62029acce4122b7ffc06bdbd80f2f/com.parorisim.liangyuan.1908051415.apk?sign=portal@portal1565010619450&source=portalsite&maple=0,2019-08-05
C100730987,印印,社交通讯,广州一九一八网络科技有限公司,41.24MB,1.11.510,2019-08-05,score_10,<10000次,印印是一款专门为声音控打造的“语音小房间”社交平台，进入房间，遇见让你心动的声音，孤单的你，总有人温暖。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/f9130f3b90c645049d73e81f6617a38f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/f9/f9130f3b90c645049d73e81f6617a38f/com.gz1918.gamecp.1908031318.apk?sign=portal@portal1565010620087&source=portalsite&maple=0,2019-08-05
C10163207,花田,社交通讯,广州网易计算机系统有限公司,36.21MB,6.26.0,2019-08-05,score_9,310万次,网易花田，超3000万优质真实用户的脱单选择，每8分钟就有一对用户脱单。来花田，遇见对的人！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/ee81bf2c531b459994ef2c6d4522e9b2.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ee/ee81bf2c531b459994ef2c6d4522e9b2/com.netease.huatian.1908051527.apk?sign=portal@portal1565010620646&source=portalsite&maple=0,2019-08-05
C100868329,阿玛丁,社交通讯,深圳市阿玛丁科技有限公司,45.06MB,3.8.6,2019-08-05,score_10,<10000次,阿玛丁是儿童智能手表配套软件，通过家长使用APP，来控制孩子手表，定位位置，对话，可语音，文字，图片，习惯培养，课程，趣听，心率检测辅助，上课禁用，围栏设置，等来和孩子沟通APP，与孩子互动，促进家庭社交，丰富亲子互动，陪伴儿童成长。听故事，天气，支持安卓4.4以上,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/0c5d0c8f44ac465681c0841dd473c7f2.png,http://appdlc.hicloud.com/dl/appdl/application/apk/0c/0c5d0c8f44ac465681c0841dd473c7f2/com.zmapp.Fwatch.amading.1908041457.apk?sign=portal@portal1565010621318&source=portalsite&maple=0,2019-08-05
