应用代码,应用名称,应用类型,公司名称,app大小,版本号,更新时间,评分,下载人数,应用介绍,图标,下载地址,爬取时间
C100825307,七天网络,教育,安徽七天教育科技有限公司,7.24MB,1.4.3,2019-07-29,score_5,16万次,“七天网络”是一款教师必备教学工具，支持移动阅卷、考试数据统计分析查看。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/6859d83719614bf1948c333097084a25.png,http://appdlc.hicloud.com/dl/appdl/application/apk/68/6859d83719614bf1948c333097084a25/com.sepnet.teacher.1907241655.apk?sign=portal@portal1564386588276&source=portalsite,2019-07-29
C100635749,奇迹小说,新闻阅读,上海证大喜马拉雅网络科技有限公司,15.00MB,2.1.29.06,2019-07-29,score_7,30万次,奇迹小说是一款正版免费小说阅读软件，致力于为您【免费】呈现：多品类原创小说、超高人气大神级小说、火爆话题小说、影视原著等10万余册的文学内容！分享好故事，免费读不停！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/03e923021f404156a83b30b50804e566.png,http://appdlc.hicloud.com/dl/appdl/application/apk/03/03e923021f404156a83b30b50804e566/reader.com.xmly.xmlyreader.1907291103.apk?sign=portal@portal1564386588835&source=portalsite,2019-07-29
C100790323,惠笑,购物比价,上海惠之韵商务服务有限公司,24.86MB,2.0.1,2019-07-29,score_10,110万次,本地商圈活动多多，线下团购优惠多多；,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/acdcd1888b67440aa0f4dcbf7718c1dc.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ac/acdcd1888b67440aa0f4dcbf7718c1dc/com.ylzt.baihui.1907262043.apk?sign=portal@portal1564386589425&source=portalsite,2019-07-29
C100202105,闪职网,商务,四川益思源网络信息有限公司,8.18MB,2.3.0,2019-07-29,score_10,<10000次,专注人才招聘，旨为提供更专业的人才服务。求职更快，机会更多，流程更短。一款有态度的，效率高的工作APP，用简单的方式，只为找到适合您的工作。一款完全免费，智能推荐优秀人才的APP，用更直接的方式，为企业甄选合适的人才。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/38464f7706ea4ca5ad05e73387149bfd.png,http://appdlc.hicloud.com/dl/appdl/application/apk/38/38464f7706ea4ca5ad05e73387149bfd/com.scys.shuzhihui.1907271020.apk?sign=portal@portal1564386589968&source=portalsite,2019-07-29
C100928135,音悦咖,社交通讯,湖北羽珂信息科技有限公司,49.78MB,V1.03.4970.300300,2019-07-29,score_0,<10000次,热门聊天pia戏社区，这里有超多好听又好玩的声音等你来探索，你也可以和大家一起分享独特的声音。在音悦咖，用声音，认识你我。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/102b91d63d8d4871a991bd1580bc37d6.png,http://appdlc.hicloud.com/dl/appdl/application/apk/10/102b91d63d8d4871a991bd1580bc37d6/cn.quanquan.1907271945.apk?sign=portal@portal1564386590559&source=portalsite,2019-07-29
C100846713,家具大师,购物比价,广东家具大师网络科技有限公司,44.55MB,1.1.5,2019-07-29,score_0,<10000次,ODM直连全球300+家具制造商。万款产品、八大风格、品类齐全。全新自选式套餐组合，专业软装设计师提供软装搭配方案。全屋、客厅、餐厅、主卧、次卧等优惠组合套餐。致力打造全新的互联网家居S2B共享平台，欢迎您来选购。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/1762545e5c8f4f7c86acfb8b4e5fa361.png,http://appdlc.hicloud.com/dl/appdl/application/apk/17/1762545e5c8f4f7c86acfb8b4e5fa361/com.jiajudashi.1907231434.apk?sign=portal@portal1564386591099&source=portalsite,2019-07-29
C100814489,房拉拉,便捷生活,厦门通证智慧网络科技有限公司,39.06MB,1.1.5,2019-07-29,score_0,<10000次,转发真房源，红包赚翻天！推荐真实好房源，邀请好友一起玩，更有大红包现金奖励。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/1e37bf63f5b04d63a309d6672506e2b7.png,http://appdlc.hicloud.com/dl/appdl/application/apk/1e/1e37bf63f5b04d63a309d6672506e2b7/com.example.fanglala.1907291010.apk?sign=portal@portal1564386598181&source=portalsite,2019-07-29
C100402875,拇信,社交通讯,湖南拇时代科技有限公司,141.61MB,2.0.1.8,2019-07-29,score_8,7万次,拇信，一款“社交+生活”的即时通讯APP。拥有语音文字同频传送、聊天加密、阅后即焚等社交功能，帮助用户解决线上社交困扰；还有联盟商家、免费拇商城等生活版块，打造用户多维度的全新消费生态圈。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/aa73e30776074aa09857a787a04e53d8.png,http://appdlc.hicloud.com/dl/appdl/application/apk/aa/aa73e30776074aa09857a787a04e53d8/com.immuxin.muxin.1907281346.apk?sign=portal@portal1564386598785&source=portalsite,2019-07-29
C100196001,三人喜,购物比价,福建陆地宝网络科技有限公司,9.52MB,1.6.1,2019-07-29,score_10,<10000次,三人喜是一家创新云超市，商品共享，店主分销。严选10年以上名企商品入驻。确保货真价实，由工厂直供直邮到消费者，让每一位消费者买到值得放心商品。每日购惊喜活动，有机会免费得商品。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/5fa134b2eada4e6bb9c026264357a5b7.png,http://appdlc.hicloud.com/dl/appdl/application/apk/5f/5fa134b2eada4e6bb9c026264357a5b7/com.shop.sanrenxi.1907270940.apk?sign=portal@portal1564386599969&source=portalsite,2019-07-29
C100228859,券返利,购物比价,深圳市唯聚宝电子商务有限公司,24.27MB,3.4.0,2019-07-29,score_10,<10000次,网购前搜一搜，万一有券呢，万一是大额优惠券呢，会花钱，才是真省钱。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/5ae747045c9f486eb92a51cdd1f0354d.png,http://appdlc.hicloud.com/dl/appdl/application/apk/5a/5ae747045c9f486eb92a51cdd1f0354d/com.quanfanliw.1907271305.apk?sign=portal@portal1564386600571&source=portalsite,2019-07-29
C100223717,全优货,购物比价,邢台非试不可网络科技有限公司,13.96MB,3.0.8,2019-07-29,score_0,<10000次,全优货，简单做微商，轻松月入万。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/9540a5d0921942a89234720c120c5448.png,http://appdlc.hicloud.com/dl/appdl/application/apk/95/9540a5d0921942a89234720c120c5448/com.c020huoyuan.supply.1907271235.apk?sign=portal@portal1564386601806&source=portalsite,2019-07-29
C100825693,吉时婚恋,社交通讯,杭州莱翔科技有限公司,9.92MB,1.0.0,2019-07-29,score_0,<10000次,吉时婚恋，优质真实用户，单身男女脱单的选择,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/1031213283e145c19cb6552260b9d2c7.png,http://appdlc.hicloud.com/dl/appdl/application/apk/10/1031213283e145c19cb6552260b9d2c7/com.project.jshl.1907232009.apk?sign=portal@portal1564386603160&source=portalsite,2019-07-29
C10092701,中国建设银行,金融理财,中国建设银行股份有限公司,141.13MB,4.2.0,2019-07-29,score_4,13亿次,建设银行专为手机银行客户打造的移动金融服务平台,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/3c85f80e79a4411e961c524d7ef54ad4.png,http://appdlc.hicloud.com/dl/appdl/application/apk/3c/3c85f80e79a4411e961c524d7ef54ad4/com.chinamworld.main.1907291444.apk?sign=portal@portal1564386604364&source=portalsite,2019-07-29
C100498087,米粒优团,购物比价,四川龙熙科技有限公司,35.04MB,3.2.5,2019-07-29,score_8,5万次,米粒优选，带你买遍好货！一站式服务，让你轻松购物！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/07c08a8e87834408ac1fdb2c00b121c4.png,http://appdlc.hicloud.com/dl/appdl/application/apk/07/07c08a8e87834408ac1fdb2c00b121c4/com.sclonsee.miliyoutuan.1907291205.apk?sign=portal@portal1564386604857&source=portalsite,2019-07-29
C93533,猎聘,商务,英仕互联(北京)信息技术有限公司,33.71MB,4.10.0,2019-07-29,score_8,6976万次,【猎聘官方出品】用猎聘，换更好的工作！智能推荐，更多机会任你选！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/1214c4fb4bdd40139ef22a1866658bf3.png,http://appdlc.hicloud.com/dl/appdl/application/apk/12/1214c4fb4bdd40139ef22a1866658bf3/com.lietou.mishu.1907291430.apk?sign=portal@portal1564386607143&source=portalsite,2019-07-29
C100258215,求雨山,旅游住宿,南京求雨山文化产业投资集团有限公司,6.26MB,1.1,2019-07-29,score_0,<10000次,求雨山中华书法小镇（The,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/a5ff43a200a346de925e735de12a2631.png,http://appdlc.hicloud.com/dl/appdl/application/apk/a5/a5ff43a200a346de925e735de12a2631/calligraphy.sanl.com.calligraphyxz.1907271605.apk?sign=portal@portal1564386607668&source=portalsite,2019-07-29
C100251235,情说专家版,社交通讯,杭州领势科技有限公司,19.20MB,1.3.7.190726,2019-07-29,score_0,<10000次,【认证专家,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/fa98c14e12da4150b4115b932809471c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/fa/fa98c14e12da4150b4115b932809471c/com.lingshi.qingshuomentor.1907271525.apk?sign=portal@portal1564386608761&source=portalsite,2019-07-29
C100143669,法行者,社交通讯,北京法行者科技有限公司,11.73MB,1.0.11,2019-07-29,score_10,1万次,法行者法律咨询APP，是一款专业法律咨询手机APP。分为律师用户端和当事人用户端。法行者APP入驻律师是经过严格审核拥有执业资格的专业律师。法行者APP的律师服务于全国各地，可以为每个地区的百姓提供法律服务。法行者APP的律师具有自己擅长的专业，可以为每位百姓解决各个领域的法律难题。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/a6c294357cff401b98766602ad08f3ce.png,http://appdlc.hicloud.com/dl/appdl/application/apk/a6/a6c294357cff401b98766602ad08f3ce/com.xingzhefa.app.1907262333.apk?sign=portal@portal1564386610386&source=portalsite,2019-07-29
C10737057,丝芙兰SEPHORA,购物比价,丝芙兰（上海）化妆品销售有限公司,84.28MB,6.8.0,2019-07-29,score_5,292万次,丝芙兰（SEPHORA），全球著名化妆品购物平台，全球拥有超过1000家门店，提供多样的产品选择：从护肤、美容到香水，既有久负盛名的化妆品精选品牌，还有引领潮流的市场新品，更有独家专有的SEPHORA（丝芙兰中国）品牌产品。汇聚雅诗兰黛、纪梵希、迪奥等近百个国际品牌，超5千款美妆护肤产品，支持货到付款。更多好物,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/5830b6ab5bbb486db4af81d275c07b96.png,http://appdlc.hicloud.com/dl/appdl/application/apk/58/5830b6ab5bbb486db4af81d275c07b96/com.arvato.sephora.app.1907291044.apk?sign=portal@portal1564386610974&source=portalsite,2019-07-29
C100278955,清水同城,便捷生活,天水易联网络信息技术有限公司,48.19MB,5.2.0,2019-07-29,score_0,<10000次,清水自己的APP，这里有好吃的，好喝的，好玩的，好看的，还有好多小伙伴！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/6e904115814249cf9a46bb3a649889a3.png,http://appdlc.hicloud.com/dl/appdl/application/apk/6e/6e904115814249cf9a46bb3a649889a3/com.chance.qingshuitongcheng.1907271805.apk?sign=portal@portal1564386611455&source=portalsite,2019-07-29
C10520394,大笨象,运动健康,广西大笨象科技有限公司,21.74MB,3.0.2,2019-07-29,score_9,6万次,大笨象APP是一款便捷的看牙软件，整合并对接口腔医患资源，帮助用户快速找到身边优质的牙医。通过补贴享受和体验看牙优惠政策和真实消费数据透明公开展示，消除口腔医患医疗信息不对称现象，促进实现透明、平等、信任的口腔医患服务模式，同时秉承平等理念，肩负普惠全民的社会责任，致力于让人人享有平等的口腔就医机会。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/fffb20243f4e47ddada9afdc403d4004.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ff/fffb20243f4e47ddada9afdc403d4004/com.dbx.patient.app.1907271440.apk?sign=portal@portal1564386612673&source=portalsite,2019-07-29
C100182461,青县同城,便捷生活,深圳市创实互联科技有限公司,48.13MB,5.2.0,2019-07-29,score_0,<10000次,青县人自己的APP，这里有好吃的，好喝的，好玩的，好看的，还有好多小伙伴！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/7ef3b11428c0455da0a4726ad8dd7b4b.png,http://appdlc.hicloud.com/dl/appdl/application/apk/7e/7ef3b11428c0455da0a4726ad8dd7b4b/com.chance.qingxiantongcheng.1907270745.apk?sign=portal@portal1564386613250&source=portalsite,2019-07-29
C10285954,洋葱数学,教育,光合新知（北京）科技有限公司,62.51MB,5.8.2,2019-07-29,score_9,3317万次,洋葱数学，一款风靡全国2000万学生用户的在线学习App！专注打造小学、初中、高中多学科在线智能学习平台！用轻松、有趣、易懂的方式，让知识一学就懂！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/9e2f32c94fc24c55a1ba00720bf790ee.png,http://appdlc.hicloud.com/dl/appdl/application/apk/9e/9e2f32c94fc24c55a1ba00720bf790ee/com.yangcong345.android.phone.1907291423.apk?sign=portal@portal1564386614538&source=portalsite,2019-07-29
C100807259,智仔,教育,西安志得网络技术有限公司,17.58MB,1.2.4,2019-07-29,score_10,<10000次,教师教育平台,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/5a31d477486a41ff89298742eff7173c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/5a/5a31d477486a41ff89298742eff7173c/com.example.zhizaiproject.1907290918.apk?sign=portal@portal1564386615058&source=portalsite,2019-07-29
C100494513,名律师法律咨询,便捷生活,深圳市红杉智能技术有限公司,27.29MB,3.0.5,2019-07-29,score_0,<10000次,名律师法律咨询APP用于高效的律师咨询，法律咨询、心理咨询、法律文书服务。快速的建立一对一的律师专业服务渠道，专业的律师、心理导师为您提供优质的法律咨询服务。极速响应、更权威、更专业。名律师法律咨询，汇集全国各地优秀律师，一站式法律咨询，您身边的法律专家。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/4fb89e4ad32a41b6828d7123f6002840.png,http://appdlc.hicloud.com/dl/appdl/application/apk/4f/4fb89e4ad32a41b6828d7123f6002840/com.cainiu.mls.1907251747.apk?sign=portal@portal1564386615676&source=portalsite,2019-07-29
C10554857,文件管家,实用工具,黄福来,28.06MB,8.1.3,2019-07-29,score_10,11万次,应用介绍,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/17106992b7474595af89e0bd66168482.png,http://appdlc.hicloud.com/dl/appdl/application/apk/17/17106992b7474595af89e0bd66168482/com.way.filemanager.1907261626.apk?sign=portal@portal1564386616875&source=portalsite,2019-07-29
C10711669,嘉石榴,实用工具,嘉实金融信息服务（杭州）有限公司,13.43MB,1.9.6,2019-07-29,score_9,4万次,嘉石榴为卓尔控股旗下网贷平台。卓尔控股为中国企业500强。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/cba6c66a07fd4713b9d2ab61f7ae7fd0.png,http://appdlc.hicloud.com/dl/appdl/application/apk/cb/cba6c66a07fd4713b9d2ab61f7ae7fd0/com.jia16.1907261014.apk?sign=portal@portal1564386617420&source=portalsite,2019-07-29
C10596072,人气直播,影音娱乐,深圳市果酱时代科技有限公司,69.72MB,5.2.7,2019-07-29,score_10,114万次,人气直播真人主播视频强势回归，等你来看哦~~人气是一款专注主播社交的直播app，于2016年6月正式上线。由果酱开发，支持数万人同时在线视频聊天，拥有知名娱乐主播即时互动、在线K歌跳舞、视频交友等。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/421139593f5c428eb4cd440897e90e7f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/42/421139593f5c428eb4cd440897e90e7f/com.guojiang.meitu.boys.1907291054.apk?sign=portal@portal1564386618106&source=portalsite,2019-07-29
C100171399,海约,旅游住宿,广州市海约互联网信息服务有限公司,71.79MB,3.2.12,2019-07-29,score_8,33万次,【海约】,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/c5a4f2c7e5a24871a55ebabfa0fbc255.png,http://appdlc.hicloud.com/dl/appdl/application/apk/c5/c5a4f2c7e5a24871a55ebabfa0fbc255/com.seatour.1907291137.apk?sign=portal@portal1564386619736&source=portalsite,2019-07-29
C89632,拓词,教育,北京小拓科技有限公司,55.31MB,8.41,2019-07-29,score_10,125万次,拓词,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/71564c95defd40e8a84a961371985ea9.png,http://appdlc.hicloud.com/dl/appdl/application/apk/71/71564c95defd40e8a84a961371985ea9/com.towords.1907271949.apk?sign=portal@portal1564386620317&source=portalsite,2019-07-29
C100038091,通讯圈,社交通讯,深圳立志捷科技有限公司,43.64MB,4.1.0,2019-07-29,score_6,7万次,通讯圈，专注服务全国手机和配件生产商、贸易商以及华强北数万家档口。解决微信群信息泛滥，无人管理，以及500人数限制。下载通讯圈APP，您的信息才能被更多同行看到，才能把优势货找到需要的人，懂货的人。通讯圈也是国内手机行业的信息交流平台、资源对接平台的先驱。本着服务于全国手机配件和维修从业者的宗旨，专注于通讯行业的服务平台，专注于手机后市场的健康发展，服务于手机内置配件、二手手机，以及数码周边的资源整合。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/0b19eeb62d8c43679766289bb1529468.png,http://appdlc.hicloud.com/dl/appdl/application/apk/0b/0b19eeb62d8c43679766289bb1529468/com.lizhijie.comcircle.1907271822.apk?sign=portal@portal1564386620789&source=portalsite,2019-07-29
C100274521,查八字,实用工具,北京甲子元宝科技有限公司,17.81MB,v3.2.9,2019-07-29,score_6,1万次,查八字,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/eab4ff53e2064ff3a03146c41a69164f.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ea/eab4ff53e2064ff3a03146c41a69164f/com.jiazimao.chabazi.1907261834.apk?sign=portal@portal1564386621350&source=portalsite,2019-07-29
C100424061,真实武器AR,拍摄美化,广州游乎信息科技有限公司,38.68MB,3.8,2019-07-29,score_9,97万次,使用您的手机模拟真实的武器！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/060e58b68fa04c329864fa1ab7010941.png,http://appdlc.hicloud.com/dl/appdl/application/apk/06/060e58b68fa04c329864fa1ab7010941/com.kaizhengne.guncamera.1907291118.apk?sign=portal@portal1564386621869&source=portalsite,2019-07-29
C100135927,淘大集,购物比价,湖北淘大集供应链有限责任公司,17.17MB,3.3.6,2019-07-29,score_9,5万次,湖北淘大集供应链有限责任公司致力于为餐饮企业与食材供货商之间打造一个公开透明的供求服务平台，通过严格审核入驻平台的优质供货商资质及所提供的食材质量，使餐饮企业足不出户即可方便、快捷地采购到物美价廉的丰富食材，解决了餐饮企业传统采购中操作不透明、质量不可控等疑难问题，避免农产品种植户与养殖户出现产品滞销的情况，同时也为广大群众食品安全保驾护航。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/55a54785e4404282bcdff750fbe028b3.png,http://appdlc.hicloud.com/dl/appdl/application/apk/55/55a54785e4404282bcdff750fbe028b3/cn.com.taodaji.1907271331.apk?sign=portal@portal1564386622508&source=portalsite,2019-07-29
C100181959,千城共配,出行导航,广州天儒供应链管理有限公司,29.81MB,2.0.20,2019-07-29,score_9,15万次,千城共配是广州天儒供应链管理有限公司旗下一款的物流品牌，运用了“区域代理+分享会员+大车队”的模式运营推广，有效整合社会上所有的人、货、车，构建一个“货运滴滴+分享经济+车队+保险+金融+仓储+电商”的物流生态圈。结合线下区域运营与服务，实现全民物流，人人物流的美好愿景！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/f7420ca61478435f8face3587f1b92a2.png,http://appdlc.hicloud.com/dl/appdl/application/apk/f7/f7420ca61478435f8face3587f1b92a2/com.qcgp56.qcgp.1907270735.apk?sign=portal@portal1564386623064&source=portalsite,2019-07-29
C100022713,电子研习社,教育,天津市易科捷科技有限公司,41.29MB,2.1.1,2019-07-29,score_9,6万次,电子研习社是一款针对电子工程师技术培训的手机App，海量培训课程持续不断的更新，随时随地学习技术，是电子工程师指尖上的培训，足不出户就可以在线学习前沿热门的技术。强大的课程更新计划，更新业内专家精心录制的课程，从入门到精通，全方位的学习技术。如果您是在校大学生，您可以从入门开始学习系列课程。如果您是刚入职的电子工程师，您可以通过在线课程培训，学习到相关的实战经验。如果您是从业多年的电子工程师，您可以通过课程培训交流更深的技术经验。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/269e2056f52940a8a4b2711a2bd349e8.png,http://appdlc.hicloud.com/dl/appdl/application/apk/26/269e2056f52940a8a4b2711a2bd349e8/com.my21dianyuan.electronicworkshop.1907290938.apk?sign=portal@portal1564386623671&source=portalsite,2019-07-29
C100809525,恋爱游戏,社交通讯,渭南欣飞悦网络科技有限公司,43.81MB,1.0.4,2019-07-29,score_4,<10000次,无论身处何地，都有Ta的陪伴。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/ad079bfe78ed4814a729aeb80f8dce0e.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ad/ad079bfe78ed4814a729aeb80f8dce0e/com.saylove.lianaiyouxi.1907261420.apk?sign=portal@portal1564386625234&source=portalsite,2019-07-29
C100929061,好乡音,影音娱乐,北京易汇众盟网络技术有限公司,8.56MB,1.3.0,2019-07-29,score_0,<10000次,守护方言文化，是维系乡情的情感纽带、是传承艺术的救命稻草、是重塑自信的厚重基石。方言脱胎于传统，受众者毕竟有限，因此也成为了解地方风俗的重要工具。地方方言，承载着一个地域的历史、文化，是一种历史文化载体，是植根于人们心中的文化记忆，与地域文化互为表里。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/22dcea6a665d402e9f049a0cc4c3ad83.png,http://appdlc.hicloud.com/dl/appdl/application/apk/22/22dcea6a665d402e9f049a0cc4c3ad83/com.lixg.zmdialect.1907231616.apk?sign=portal@portal1564386625758&source=portalsite,2019-07-29
